id,instance,goal,result,duration,correct_result,verdict,steps_obtained
170,exp_acyclic_depvary_step1_batch_yyy07.pl,z2,no,0.05,no,corr,0
171,exp_acyclic_depvary_step1_batch_yyy08.pl,t5,no,0.1,no,corr,0
172,exp_acyclic_depvary_step1_batch_yyy08.pl,y4,no,0.05,no,corr,0
173,exp_acyclic_depvary_step1_batch_yyy08.pl,w2,no,0.04,no,corr,0
174,exp_acyclic_depvary_step1_batch_yyy08.pl,f5,no,0.08,no,corr,0
175,exp_acyclic_depvary_step1_batch_yyy08.pl,e3,no,0.08,no,corr,0
176,exp_acyclic_depvary_step1_batch_yyy08.pl,d2,no,0.06,no,corr,0
177,exp_acyclic_depvary_step1_batch_yyy08.pl,v3,no,0.06,no,corr,0
178,exp_acyclic_depvary_step1_batch_yyy08.pl,f2,no,0.06,no,corr,0
179,exp_acyclic_depvary_step1_batch_yyy08.pl,f4,no,0.06,no,corr,0
180,exp_acyclic_depvary_step1_batch_yyy08.pl,a3,no,0.06,no,corr,0
181,exp_acyclic_depvary_step1_batch_yyy09.pl,t4,no,0.08,no,corr,0
182,exp_acyclic_depvary_step1_batch_yyy09.pl,b3,no,0.06,no,corr,0
183,exp_acyclic_depvary_step1_batch_yyy09.pl,d3,no,0.04,no,corr,0
184,exp_acyclic_depvary_step1_batch_yyy09.pl,x5,no,0.06,no,corr,0
185,exp_acyclic_depvary_step1_batch_yyy09.pl,r1,yes,0.07,yes,corr,1
186,exp_acyclic_depvary_step1_batch_yyy09.pl,q3,no,0.04,no,corr,0
187,exp_acyclic_depvary_step1_batch_yyy09.pl,e3,no,0.04,no,corr,0
188,exp_acyclic_depvary_step1_batch_yyy09.pl,r4,no,0.06,no,corr,0
189,exp_acyclic_depvary_step1_batch_yyy09.pl,e2,no,0.06,no,corr,0
190,exp_acyclic_depvary_step1_batch_yyy09.pl,r3,no,0.05,no,corr,0
191,exp_acyclic_depvary_step1_batch_yyy10.pl,c4,no,0.09,no,corr,0
192,exp_acyclic_depvary_step1_batch_yyy10.pl,d4,no,0.04,no,corr,0
193,exp_acyclic_depvary_step1_batch_yyy10.pl,b1,yes,0.08,yes,corr,2
194,exp_acyclic_depvary_step1_batch_yyy10.pl,a4,no,0.06,no,corr,0
195,exp_acyclic_depvary_step1_batch_yyy10.pl,y3,no,0.04,no,corr,0
196,exp_acyclic_depvary_step1_batch_yyy10.pl,e3,no,0.06,no,corr,0
197,exp_acyclic_depvary_step1_batch_yyy10.pl,r3,no,0.06,no,corr,0
198,exp_acyclic_depvary_step1_batch_yyy10.pl,f2,no,0.05,no,corr,0
199,exp_acyclic_depvary_step1_batch_yyy10.pl,q3,no,0.08,no,corr,0
200,exp_acyclic_depvary_step1_batch_yyy10.pl,y2,no,0.06,no,corr,0
201,exp_acyclic_depvary_step2_batch_yyy01.pl,b2,yes,0.47,no,inc,10
202,exp_acyclic_depvary_step2_batch_yyy01.pl,e1,yes,0.06,yes,corr,0
203,exp_acyclic_depvary_step2_batch_yyy01.pl,e5,no,0.06,no,corr,0
204,exp_acyclic_depvary_step2_batch_yyy01.pl,c5,no,0.05,no,corr,0
205,exp_acyclic_depvary_step2_batch_yyy01.pl,z4,no,0.05,no,corr,0
206,exp_acyclic_depvary_step2_batch_yyy01.pl,c1,no,0.59,no,corr,9
207,exp_acyclic_depvary_step2_batch_yyy01.pl,p1,no,0.47,no,corr,8
208,exp_acyclic_depvary_step2_batch_yyy01.pl,y5,no,0.05,no,corr,0
209,exp_acyclic_depvary_step2_batch_yyy01.pl,a6,no,0.05,no,corr,0
210,exp_acyclic_depvary_step2_batch_yyy01.pl,s4,no,0.05,no,corr,0
211,exp_acyclic_depvary_step2_batch_yyy02.pl,z5,no,0.07,no,corr,0
212,exp_acyclic_depvary_step2_batch_yyy02.pl,e5,no,0.07,no,corr,0
213,exp_acyclic_depvary_step2_batch_yyy02.pl,s5,no,0.07,no,corr,0
214,exp_acyclic_depvary_step2_batch_yyy02.pl,p2,yes,0.07,yes,corr,1
215,exp_acyclic_depvary_step2_batch_yyy02.pl,a1,no,0.22,no,corr,6
216,exp_acyclic_depvary_step2_batch_yyy02.pl,q2,no,0.26,no,corr,6
217,exp_acyclic_depvary_step2_batch_yyy02.pl,d3,no,0.04,no,corr,0
218,exp_acyclic_depvary_step2_batch_yyy02.pl,u4,no,0.05,no,corr,0
219,exp_acyclic_depvary_step2_batch_yyy02.pl,w1,no,0.04,no,corr,0
220,exp_acyclic_depvary_step2_batch_yyy02.pl,p3,no,0.06,no,corr,0
221,exp_acyclic_depvary_step2_batch_yyy03.pl,d5,no,0.07,no,corr,0
222,exp_acyclic_depvary_step2_batch_yyy03.pl,p5,no,0.06,no,corr,0
223,exp_acyclic_depvary_step2_batch_yyy03.pl,v5,no,0.06,no,corr,0
224,exp_acyclic_depvary_step2_batch_yyy03.pl,f5,no,0.06,no,corr,0
225,exp_acyclic_depvary_step2_batch_yyy03.pl,p3,no,0.06,no,corr,0
226,exp_acyclic_depvary_step2_batch_yyy03.pl,u3,no,0.06,no,corr,0
227,exp_acyclic_depvary_step2_batch_yyy03.pl,y2,no,0.06,no,corr,0
228,exp_acyclic_depvary_step2_batch_yyy03.pl,d1,yes,0.06,yes,corr,0
229,exp_acyclic_depvary_step2_batch_yyy03.pl,y3,no,0.06,no,corr,0
230,exp_acyclic_depvary_step2_batch_yyy03.pl,r5,no,0.05,no,corr,0
231,exp_acyclic_depvary_step2_batch_yyy04.pl,e1,no,0.3,no,corr,8
232,exp_acyclic_depvary_step2_batch_yyy04.pl,f1,yes,0.22,yes,corr,7
233,exp_acyclic_depvary_step2_batch_yyy04.pl,v5,no,0.06,no,corr,0
234,exp_acyclic_depvary_step2_batch_yyy04.pl,q5,no,0.03,no,corr,0
235,exp_acyclic_depvary_step2_batch_yyy04.pl,v1,yes,0.07,yes,corr,1
236,exp_acyclic_depvary_step2_batch_yyy04.pl,c6,no,0.06,no,corr,0
237,exp_acyclic_depvary_step2_batch_yyy04.pl,a6,no,0.06,no,corr,0
238,exp_acyclic_depvary_step2_batch_yyy04.pl,y4,no,0.06,no,corr,0
239,exp_acyclic_depvary_step2_batch_yyy04.pl,e2,no,0.06,no,corr,0
240,exp_acyclic_depvary_step2_batch_yyy04.pl,u2,no,0.06,no,corr,0
241,exp_acyclic_depvary_step2_batch_yyy05.pl,b2,no,0.21,no,corr,5
242,exp_acyclic_depvary_step2_batch_yyy05.pl,y4,no,0.06,no,corr,0
243,exp_acyclic_depvary_step2_batch_yyy05.pl,e1,yes,0.05,yes,corr,1
244,exp_acyclic_depvary_step2_batch_yyy05.pl,f1,yes,0.06,yes,corr,1
245,exp_acyclic_depvary_step2_batch_yyy05.pl,w5,no,0.05,no,corr,0
246,exp_acyclic_depvary_step2_batch_yyy05.pl,q4,no,0.06,no,corr,0
247,exp_acyclic_depvary_step2_batch_yyy05.pl,y3,no,0.06,no,corr,0
248,exp_acyclic_depvary_step2_batch_yyy05.pl,f4,no,0.08,no,corr,0
249,exp_acyclic_depvary_step2_batch_yyy05.pl,z1,yes,0.18,yes,corr,5
250,exp_acyclic_depvary_step2_batch_yyy05.pl,b1,yes,0.08,yes,corr,0
251,exp_acyclic_depvary_step2_batch_yyy06.pl,c3,no,0.11,no,corr,0
252,exp_acyclic_depvary_step2_batch_yyy06.pl,u1,yes,0.07,yes,corr,1
253,exp_acyclic_depvary_step2_batch_yyy06.pl,d3,no,0.06,no,corr,0
254,exp_acyclic_depvary_step2_batch_yyy06.pl,q4,no,0.08,no,corr,0
255,exp_acyclic_depvary_step2_batch_yyy06.pl,x2,no,0.06,no,corr,0
256,exp_acyclic_depvary_step2_batch_yyy06.pl,x5,no,0.06,no,corr,0
257,exp_acyclic_depvary_step2_batch_yyy06.pl,a1,yes,0.04,yes,corr,0
258,exp_acyclic_depvary_step2_batch_yyy06.pl,x4,no,0.06,no,corr,0
259,exp_acyclic_depvary_step2_batch_yyy06.pl,p5,no,0.06,no,corr,0
260,exp_acyclic_depvary_step2_batch_yyy06.pl,x3,no,0.07,no,corr,0
261,exp_acyclic_depvary_step2_batch_yyy07.pl,d5,no,0.07,no,corr,0
262,exp_acyclic_depvary_step2_batch_yyy07.pl,f1,yes,0.35,yes,corr,9
263,exp_acyclic_depvary_step2_batch_yyy07.pl,w5,no,0.04,no,corr,0
264,exp_acyclic_depvary_step2_batch_yyy07.pl,y3,no,0.06,no,corr,0
265,exp_acyclic_depvary_step2_batch_yyy07.pl,x1,yes,0.09,yes,corr,1
266,exp_acyclic_depvary_step2_batch_yyy07.pl,f2,no,0.06,no,corr,0
267,exp_acyclic_depvary_step2_batch_yyy07.pl,c5,no,0.06,no,corr,0
268,exp_acyclic_depvary_step2_batch_yyy07.pl,a5,no,0.06,no,corr,0
269,exp_acyclic_depvary_step2_batch_yyy07.pl,d1,no,0.18,no,corr,5
270,exp_acyclic_depvary_step2_batch_yyy07.pl,t1,yes,0.32,yes,corr,8
271,exp_acyclic_depvary_step2_batch_yyy08.pl,s3,no,0.08,no,corr,0
272,exp_acyclic_depvary_step2_batch_yyy08.pl,x3,no,0.06,no,corr,0
273,exp_acyclic_depvary_step2_batch_yyy08.pl,s5,no,0.05,no,corr,0
274,exp_acyclic_depvary_step2_batch_yyy08.pl,p3,no,0.06,no,corr,0
275,exp_acyclic_depvary_step2_batch_yyy08.pl,d2,no,0.06,no,corr,0
276,exp_acyclic_depvary_step2_batch_yyy08.pl,z3,no,0.06,no,corr,0
277,exp_acyclic_depvary_step2_batch_yyy08.pl,y2,no,0.06,no,corr,0
278,exp_acyclic_depvary_step2_batch_yyy08.pl,c6,no,0.06,no,corr,0
