goal,instance,verdict,duration
u4,exp_acyclic_depvary_step3_batch_yyy03.pl,no,0.005
z1,exp_acyclic_depvary_step3_batch_yyy03.pl,no,0.004
c6,exp_acyclic_depvary_step3_batch_yyy03.pl,no,0.005
y1,exp_acyclic_depvary_step3_batch_yyy03.pl,no,0.004
y2,exp_acyclic_depvary_step3_batch_yyy03.pl,no,0.005
e2,exp_acyclic_depvary_step3_batch_yyy03.pl,no,0.004
r3,exp_acyclic_depvary_step3_batch_yyy03.pl,no,0.004
f2,exp_acyclic_depvary_step3_batch_yyy03.pl,no,0.003
q2,exp_acyclic_depvary_step3_batch_yyy03.pl,no,0.003
t5,exp_acyclic_depvary_step3_batch_yyy04.pl,no,0.003
s4,exp_acyclic_depvary_step3_batch_yyy04.pl,no,0.003
u4,exp_acyclic_depvary_step3_batch_yyy04.pl,no,0.004
c5,exp_acyclic_depvary_step3_batch_yyy04.pl,no,0.004
e4,exp_acyclic_depvary_step3_batch_yyy04.pl,no,0.005
w1,exp_acyclic_depvary_step3_batch_yyy04.pl,no,0.004
s1,exp_acyclic_depvary_step3_batch_yyy04.pl,yes,0.004
z3,exp_acyclic_depvary_step3_batch_yyy04.pl,no,0.003
r3,exp_acyclic_depvary_step3_batch_yyy04.pl,no,0.004
q2,exp_acyclic_depvary_step3_batch_yyy04.pl,yes,0.004
e1,exp_acyclic_depvary_step3_batch_yyy05.pl,yes,0.003
f1,exp_acyclic_depvary_step3_batch_yyy05.pl,yes,0.003
c5,exp_acyclic_depvary_step3_batch_yyy05.pl,no,0.003
r4,exp_acyclic_depvary_step3_batch_yyy05.pl,no,0.004
a3,exp_acyclic_depvary_step3_batch_yyy05.pl,no,0.004
x1,exp_acyclic_depvary_step3_batch_yyy05.pl,yes,0.004
s5,exp_acyclic_depvary_step3_batch_yyy05.pl,no,0.003
b4,exp_acyclic_depvary_step3_batch_yyy05.pl,no,0.003
r5,exp_acyclic_depvary_step3_batch_yyy05.pl,no,0.003
e4,exp_acyclic_depvary_step3_batch_yyy05.pl,no,0.003
c4,exp_acyclic_depvary_step3_batch_yyy06.pl,no,0.003
u4,exp_acyclic_depvary_step3_batch_yyy06.pl,no,0.004
a1,exp_acyclic_depvary_step3_batch_yyy06.pl,no,0.003
u2,exp_acyclic_depvary_step3_batch_yyy06.pl,no,0.004
x4,exp_acyclic_depvary_step3_batch_yyy06.pl,no,0.005
z5,exp_acyclic_depvary_step3_batch_yyy06.pl,no,0.004
e1,exp_acyclic_depvary_step3_batch_yyy06.pl,yes,0.003
x5,exp_acyclic_depvary_step3_batch_yyy06.pl,no,0.004
c6,exp_acyclic_depvary_step3_batch_yyy06.pl,no,0.005
b5,exp_acyclic_depvary_step3_batch_yyy06.pl,no,0.003
w2,exp_acyclic_depvary_step3_batch_yyy07.pl,no,0.003
q5,exp_acyclic_depvary_step3_batch_yyy07.pl,no,0.004
c2,exp_acyclic_depvary_step3_batch_yyy07.pl,yes,0.003
x2,exp_acyclic_depvary_step3_batch_yyy07.pl,yes,0.004
e4,exp_acyclic_depvary_step3_batch_yyy07.pl,no,0.003
a1,exp_acyclic_depvary_step3_batch_yyy07.pl,yes,0.004
t4,exp_acyclic_depvary_step3_batch_yyy07.pl,no,0.005
s3,exp_acyclic_depvary_step3_batch_yyy07.pl,no,0.005
r3,exp_acyclic_depvary_step3_batch_yyy07.pl,no,0.004
q1,exp_acyclic_depvary_step3_batch_yyy07.pl,no,0.003
d4,exp_acyclic_depvary_step3_batch_yyy08.pl,no,0.003
w2,exp_acyclic_depvary_step3_batch_yyy08.pl,yes,0.003
a5,exp_acyclic_depvary_step3_batch_yyy08.pl,no,0.003
y3,exp_acyclic_depvary_step3_batch_yyy08.pl,no,0.004
c6,exp_acyclic_depvary_step3_batch_yyy08.pl,no,0.003
q3,exp_acyclic_depvary_step3_batch_yyy08.pl,no,0.004
u2,exp_acyclic_depvary_step3_batch_yyy08.pl,no,0.004
y5,exp_acyclic_depvary_step3_batch_yyy08.pl,no,0.004
f4,exp_acyclic_depvary_step3_batch_yyy08.pl,no,0.003
z3,exp_acyclic_depvary_step3_batch_yyy08.pl,no,0.004
b3,exp_acyclic_depvary_step3_batch_yyy09.pl,no,0.004
d4,exp_acyclic_depvary_step3_batch_yyy09.pl,no,0.003
w5,exp_acyclic_depvary_step3_batch_yyy09.pl,no,0.004
b1,exp_acyclic_depvary_step3_batch_yyy09.pl,no,0.004
a4,exp_acyclic_depvary_step3_batch_yyy09.pl,no,0.004
p3,exp_acyclic_depvary_step3_batch_yyy09.pl,no,0.004
e3,exp_acyclic_depvary_step3_batch_yyy09.pl,no,0.004
r1,exp_acyclic_depvary_step3_batch_yyy09.pl,yes,0.006
e2,exp_acyclic_depvary_step3_batch_yyy09.pl,yes,0.005
d1,exp_acyclic_depvary_step3_batch_yyy09.pl,yes,0.004
s3,exp_acyclic_depvary_step3_batch_yyy10.pl,no,0.004
b3,exp_acyclic_depvary_step3_batch_yyy10.pl,no,0.005
e1,exp_acyclic_depvary_step3_batch_yyy10.pl,yes,0.005
t2,exp_acyclic_depvary_step3_batch_yyy10.pl,no,0.004
e3,exp_acyclic_depvary_step3_batch_yyy10.pl,no,0.004
