id,instance,goal,result,duration,correct_result,verdict,steps_obtained,constraints_no,constraints_max,constraints_min,is_trivial
160,exp_acyclic_depvary_step1_batch_yyy06.pl,b1,yes,0.19,yes,corr,0.0,None,None,None,no
161,exp_acyclic_depvary_step1_batch_yyy07.pl,c4,no,0.24,no,corr,0.0,None,None,None,yes
162,exp_acyclic_depvary_step1_batch_yyy07.pl,v5,no,0.24,no,corr,0.0,None,None,None,yes
163,exp_acyclic_depvary_step1_batch_yyy07.pl,z4,no,0.17,no,corr,0.0,None,None,None,yes
164,exp_acyclic_depvary_step1_batch_yyy07.pl,s1,yes,0.27,yes,corr,1.0,None,None,None,no
165,exp_acyclic_depvary_step1_batch_yyy07.pl,q1,yes,0.33,yes,corr,2.0,None,None,None,no
166,exp_acyclic_depvary_step1_batch_yyy07.pl,x4,no,0.24,no,corr,0.0,None,None,None,yes
167,exp_acyclic_depvary_step1_batch_yyy07.pl,f1,no,0.28,no,corr,1.0,None,None,None,no
168,exp_acyclic_depvary_step1_batch_yyy07.pl,e5,no,0.32,no,corr,0.0,None,None,None,yes
169,exp_acyclic_depvary_step1_batch_yyy07.pl,t2,no,0.18,no,corr,0.0,None,None,None,yes
170,exp_acyclic_depvary_step1_batch_yyy07.pl,z2,no,0.27,no,corr,0.0,None,None,None,yes
171,exp_acyclic_depvary_step1_batch_yyy08.pl,t5,no,0.29,no,corr,0.0,None,None,None,yes
172,exp_acyclic_depvary_step1_batch_yyy08.pl,y4,no,0.38,no,corr,0.0,None,None,None,yes
173,exp_acyclic_depvary_step1_batch_yyy08.pl,w2,no,0.3,no,corr,0.0,None,None,None,yes
174,exp_acyclic_depvary_step1_batch_yyy08.pl,f5,no,0.21,no,corr,0.0,None,None,None,yes
175,exp_acyclic_depvary_step1_batch_yyy08.pl,e3,no,0.4,no,corr,0.0,None,None,None,yes
176,exp_acyclic_depvary_step1_batch_yyy08.pl,d2,no,0.22,no,corr,0.0,None,None,None,yes
177,exp_acyclic_depvary_step1_batch_yyy08.pl,v3,no,0.24,no,corr,0.0,None,None,None,yes
178,exp_acyclic_depvary_step1_batch_yyy08.pl,f2,no,0.25,no,corr,0.0,None,None,None,yes
179,exp_acyclic_depvary_step1_batch_yyy08.pl,f4,no,0.27,no,corr,0.0,None,None,None,yes
180,exp_acyclic_depvary_step1_batch_yyy08.pl,a3,no,0.23,no,corr,0.0,None,None,None,yes
181,exp_acyclic_depvary_step1_batch_yyy09.pl,t4,no,0.22,no,corr,0.0,None,None,None,yes
182,exp_acyclic_depvary_step1_batch_yyy09.pl,b3,no,0.22,no,corr,0.0,None,None,None,yes
183,exp_acyclic_depvary_step1_batch_yyy09.pl,d3,no,0.37,no,corr,0.0,None,None,None,yes
184,exp_acyclic_depvary_step1_batch_yyy09.pl,x5,no,0.22,no,corr,0.0,None,None,None,yes
185,exp_acyclic_depvary_step1_batch_yyy09.pl,r1,yes,0.32,yes,corr,1.0,None,None,None,no
186,exp_acyclic_depvary_step1_batch_yyy09.pl,q3,no,0.16,no,corr,0.0,None,None,None,yes
187,exp_acyclic_depvary_step1_batch_yyy09.pl,e3,no,0.21,no,corr,0.0,None,None,None,yes
188,exp_acyclic_depvary_step1_batch_yyy09.pl,r4,no,0.18,no,corr,0.0,None,None,None,yes
189,exp_acyclic_depvary_step1_batch_yyy09.pl,e2,no,0.22,no,corr,0.0,None,None,None,yes
190,exp_acyclic_depvary_step1_batch_yyy09.pl,r3,no,0.23,no,corr,0.0,None,None,None,yes
191,exp_acyclic_depvary_step1_batch_yyy10.pl,c4,no,0.31,no,corr,0.0,None,None,None,yes
192,exp_acyclic_depvary_step1_batch_yyy10.pl,d4,no,0.19,no,corr,0.0,None,None,None,yes
193,exp_acyclic_depvary_step1_batch_yyy10.pl,b1,yes,0.35,yes,corr,2.0,None,None,None,no
194,exp_acyclic_depvary_step1_batch_yyy10.pl,a4,no,0.21,no,corr,0.0,None,None,None,yes
195,exp_acyclic_depvary_step1_batch_yyy10.pl,y3,no,0.2,no,corr,0.0,None,None,None,yes
196,exp_acyclic_depvary_step1_batch_yyy10.pl,e3,no,0.21,no,corr,0.0,None,None,None,yes
197,exp_acyclic_depvary_step1_batch_yyy10.pl,r3,no,0.28,no,corr,0.0,None,None,None,yes
198,exp_acyclic_depvary_step1_batch_yyy10.pl,f2,no,0.23,no,corr,0.0,None,None,None,yes
